iter	Logloss
0	0.6042270361
1	0.5448088031
2	0.4926268683
3	0.4544274445
4	0.4264461982
5	0.4036217017
6	0.3822380946
7	0.3652324205
8	0.3492476387
9	0.3363895852
10	0.3263021839
11	0.319267401
12	0.3113589411
13	0.3053114762
14	0.3003512402
15	0.2972584664
16	0.2942355361
17	0.2900393426
18	0.2871125432
19	0.284009017
20	0.2826349705
21	0.2798816859
22	0.2783770864
23	0.2761830566
24	0.2746360881
25	0.2732123024
26	0.2725291569
27	0.2712730949
28	0.2696562179
29	0.2691423096
30	0.2683819115
31	0.2675033894
32	0.26704581
33	0.2664402297
34	0.2658623066
35	0.2655381343
36	0.2651365644
37	0.2647321079
38	0.264272284
39	0.2639402799
40	0.2634392841
41	0.263078652
42	0.2627554221
43	0.2623646946
44	0.2623104841
45	0.2621817822
46	0.2617019766
47	0.2613077387
48	0.2610451163
49	0.2607653075
50	0.2606243087
51	0.2605130652
52	0.2603407946
53	0.2602575049
54	0.2601538681
55	0.2600032942
56	0.2598630592
57	0.2597576136
58	0.2595430204
59	0.2592926139
60	0.2591646726
61	0.2589593056
62	0.2588106198
63	0.2587079061
64	0.2586365545
65	0.2585235086
66	0.2584677014
67	0.258321868
68	0.2582188846
69	0.2581097901
70	0.2579924781
71	0.257882389
72	0.2577943735
73	0.2577781463
74	0.2576901834
75	0.2576254952
76	0.2574885039
77	0.2574455194
78	0.2574361595
79	0.2572623037
80	0.2572267618
81	0.2571841742
82	0.2571400524
83	0.2570966203
84	0.2568605059
85	0.2568326256
86	0.256671295
87	0.2566166169
88	0.2565599806
89	0.2564841352
90	0.2562928289
91	0.2561997055
92	0.2560598677
93	0.2560246428
94	0.2559372293
95	0.2558797031
96	0.2558613201
97	0.2558042088
98	0.2557543888
99	0.2556518378
100	0.2556281344
101	0.2555319016
102	0.2555293731
103	0.2554918788
104	0.2554553471
105	0.2553989923
106	0.2552568921
107	0.2552308326
108	0.2551953947
109	0.2551570018
110	0.2551260454
111	0.25509545
112	0.2550618719
113	0.2550089148
114	0.2549062583
115	0.254787044
116	0.2547249874
117	0.2547249874
118	0.2546417774
119	0.2546199031
120	0.2545904864
121	0.2543355915
122	0.2542168813
123	0.2541084283
124	0.2540428566
125	0.2539810231
126	0.2539617456
127	0.2539093607
128	0.2538713445
129	0.2538449284
130	0.2538278537
131	0.2537949695
132	0.2537259805
133	0.2537251376
134	0.253701422
135	0.2536333523
136	0.2534404585
137	0.2533679622
138	0.2533146901
139	0.253251203
140	0.2532088718
141	0.2531625337
142	0.2531035265
143	0.2530680725
144	0.2529332561
145	0.2529120788
146	0.252832959
147	0.252823222
148	0.2527482684
149	0.2527425895
150	0.2527157574
151	0.2526521074
152	0.2525796852
153	0.2525646126
154	0.2525475198
155	0.2524589373
156	0.2524221987
157	0.2522863132
158	0.2522120578
159	0.2521772512
160	0.2521622272
161	0.2520875708
162	0.2520106534
163	0.2520058021
164	0.2519828328
165	0.2519198613
166	0.2518576782
167	0.2518187682
168	0.2517261006
169	0.2516249947
170	0.2515838073
171	0.2515292465
172	0.2514842974
173	0.2513723998
174	0.251303599
175	0.2512574329
176	0.2512025554
177	0.2512021988
178	0.251144029
179	0.251021712
180	0.2510028772
181	0.2509758739
182	0.2508822998
183	0.2508311136
184	0.2507421184
185	0.2507042868
186	0.25062938
187	0.2505727346
188	0.2504633366
189	0.2503752846
190	0.2503114769
191	0.2502426189
192	0.2502259522
193	0.2501785021
194	0.250127128
195	0.2501024522
196	0.2500451344
197	0.2500010877
198	0.2499377633
199	0.2498998742
200	0.2498471705
201	0.2497588881
202	0.2496760036
203	0.2496393042
204	0.2495591735
205	0.2495242474
206	0.2495053065
207	0.2494398634
208	0.249407319
209	0.2493541478
210	0.2493107188
211	0.2492804513
212	0.2492563833
213	0.2492290891
214	0.2491942386
215	0.2490909798
216	0.2490726009
217	0.2490054124
218	0.2489572313
219	0.2489355685
220	0.2488748777
221	0.2488580794
222	0.2487858321
223	0.248654919
224	0.2485486509
225	0.2484764508
226	0.2484411695
227	0.2483664583
228	0.2483287459
229	0.2482959324
230	0.2482302611
231	0.2481645502
232	0.2481468081
233	0.2480734769
234	0.2480376692
235	0.2480144488
236	0.247948449
237	0.2478797934
238	0.2478311966
239	0.247759149
240	0.2477220716
241	0.2476881025
242	0.2476431503
243	0.2475656211
244	0.2475259945
245	0.2474637521
246	0.2474327287
247	0.2473298796
248	0.247264858
249	0.2472309644
250	0.2471689009
251	0.247135552
252	0.2471128043
253	0.2470371662
254	0.2470149072
255	0.2469476752
256	0.2468752381
257	0.2468201885
258	0.246748207
259	0.2466877756
260	0.24665804
261	0.2466038791
262	0.2464945427
263	0.2464799195
264	0.2464343971
265	0.2463979562
266	0.2463648617
267	0.2462950485
268	0.2462001411
269	0.2461764528
270	0.2460973513
271	0.2460604608
272	0.2460283055
273	0.245964877
274	0.245954974
275	0.2459084427
276	0.2458586934
277	0.2458023133
278	0.2457284706
279	0.2457170743
280	0.2457007249
281	0.2456431309
282	0.2455895053
283	0.2455430019
284	0.2454697268
285	0.2454380641
286	0.2453823765
287	0.2453071691
288	0.2452354772
289	0.2452149562
290	0.2451370624
291	0.2450817329
292	0.2450479236
293	0.2450145114
294	0.2449604121
295	0.2449222256
296	0.2448611804
297	0.2448159738
298	0.2447483961
299	0.2447263906
300	0.244718848
301	0.2446982391
302	0.2446772767
303	0.2446563694
304	0.2445967499
305	0.2445295001
306	0.2445035271
307	0.2444908378
308	0.2444664449
309	0.2444156128
310	0.2443987701
311	0.2443279797
312	0.2442756384
313	0.2442459175
314	0.2442058542
315	0.2441736197
316	0.24414887
317	0.2441117685
318	0.2440970542
319	0.2440828422
320	0.2440616932
321	0.2440479402
322	0.2440179896
323	0.2439668682
324	0.2439175618
325	0.2438458774
326	0.2437613821
327	0.2436946128
328	0.2436610839
329	0.2436137393
330	0.2435692978
331	0.2435367547
332	0.2434846366
333	0.2434426738
334	0.2434273043
335	0.2433884736
336	0.2433591008
337	0.2433055521
338	0.2432097929
339	0.2431928617
340	0.2431653264
341	0.2430973148
342	0.2430472723
343	0.2430267358
344	0.2429887622
345	0.2429729409
346	0.2429172167
347	0.2428536825
348	0.242820097
349	0.2428083352
350	0.2427823203
351	0.2427619187
352	0.2427414803
353	0.2426834637
354	0.2426699036
355	0.2426298376
356	0.2425677635
357	0.2425387995
358	0.2425144147
359	0.2424907815
360	0.2424070508
361	0.2423403479
362	0.2422686467
363	0.2422358041
364	0.2421982865
365	0.2421435099
366	0.2420865287
367	0.2420195309
368	0.2419582643
369	0.2418987134
370	0.2418267554
371	0.2417780869
372	0.2417545208
373	0.2417411966
374	0.2416786891
375	0.2416289428
376	0.2416198679
377	0.2415910061
378	0.2415658668
379	0.2415138592
380	0.2414963865
381	0.2414866591
382	0.2413802008
383	0.2413436093
384	0.2413247882
385	0.2412861486
386	0.2412226183
387	0.2411929729
388	0.241172544
389	0.2411392674
390	0.2410839361
391	0.2410371627
392	0.2410224593
393	0.2409364332
394	0.2409240214
395	0.240897004
396	0.2408543319
397	0.240806032
398	0.2407681073
399	0.2407519823
400	0.2407225773
401	0.2406638069
402	0.2406448738
403	0.2406157116
404	0.2405921584
405	0.2405528228
406	0.2405181963
407	0.2405013589
408	0.2404685477
409	0.2404293872
410	0.2403858935
411	0.2403619346
412	0.2403415562
413	0.2403194262
414	0.2402825066
415	0.2402451457
416	0.2401884257
417	0.2401606452
418	0.2401533105
419	0.2401057345
420	0.2400578124
421	0.2400177895
422	0.2399914678
423	0.2399913405
424	0.2399273491
425	0.2398809279
426	0.2398523471
427	0.2398238521
