iter	Passed	Remaining
0	84	84654
1	103	51576
2	135	45014
3	162	40469
4	185	36968
5	201	33386
6	229	32495
7	257	31888
8	284	31367
9	305	30224
10	344	30987
11	383	31581
12	420	31941
13	449	31664
14	480	31528
15	505	31090
16	526	30422
17	552	30138
18	575	29720
19	597	29264
20	628	29320
21	656	29180
22	690	29343
23	730	29703
24	762	29730
25	788	29551
26	817	29474
27	848	29444
28	876	29331
29	900	29126
30	931	29126
31	960	29045
32	988	28967
33	1017	28897
34	1049	28928
35	1076	28822
36	1108	28857
37	1136	28766
38	1165	28710
39	1188	28517
40	1234	28866
41	1258	28713
42	1292	28763
43	1314	28552
44	1325	28130
45	1346	27916
46	1371	27799
47	1396	27703
48	1421	27588
49	1454	27626
50	1481	27573
51	1515	27630
52	1542	27561
53	1560	27331
54	1593	27370
55	1616	27253
56	1645	27222
57	1672	27166
58	1699	27112
59	1728	27074
60	1752	26983
61	1780	26940
62	1805	26849
63	1836	26861
64	1860	26768
65	1893	26794
66	1918	26712
67	1943	26639
68	1968	26560
69	1992	26471
70	2013	26347
71	2043	26333
72	2072	26317
73	2088	26139
74	2111	26044
75	2139	26008
76	2161	25908
77	2187	25862
78	2202	25679
79	2224	25582
80	2249	25524
81	2281	25539
82	2306	25486
83	2333	25449
84	2361	25419
85	2387	25370
86	2413	25327
87	2444	25336
88	2480	25385
89	2505	25328
90	2534	25319
91	2560	25268
92	2599	25348
93	2647	25517
94	2684	25576
95	2722	25638
96	2757	25671
97	2792	25700
98	2840	25850
99	2874	25874
100	2904	25855
101	2938	25869
102	2949	25688
103	2975	25638
104	3009	25651
105	3046	25694
106	3075	25664
107	3112	25705
108	3137	25648
109	3165	25608
110	3199	25622
111	3230	25616
112	3258	25579
113	3294	25603
114	3323	25575
115	3356	25577
116	3387	25563
117	3395	25377
118	3420	25322
119	3448	25286
120	3479	25280
121	3515	25297
122	3546	25287
123	3571	25232
124	3600	25206
125	3625	25145
126	3653	25112
127	3679	25066
128	3704	25012
129	3728	24952
130	3750	24880
131	3779	24855
