iter	Logloss
0	0.608359994
1	0.5485402007
2	0.5020370537
3	0.461584972
4	0.4273410339
5	0.4017688285
6	0.3766865943
7	0.3592449272
8	0.3441617167
9	0.3337335186
10	0.327228287
11	0.3210847036
12	0.3147738843
13	0.3071348159
14	0.3031944079
15	0.2987848302
16	0.2934516867
17	0.2909176661
18	0.2861347056
19	0.2841585239
20	0.282597294
21	0.2810758675
22	0.2793460946
23	0.2766004731
24	0.2740840146
25	0.2730308256
26	0.2720528955
27	0.2708819045
28	0.2697679684
29	0.2691756973
30	0.2686466219
31	0.2681449854
32	0.2668222153
33	0.2666549579
34	0.2661014889
35	0.2655898327
36	0.2649223715
37	0.2641581025
38	0.2634963084
39	0.2632871123
40	0.2627273199
41	0.2626765552
42	0.2623782299
43	0.2621583821
44	0.2619560606
45	0.2617533711
46	0.2614046299
47	0.2611794971
48	0.2608479507
49	0.2607232246
50	0.2605194436
51	0.2601765361
52	0.2598494877
53	0.2596864568
54	0.2596041583
55	0.2593422043
56	0.2592652492
57	0.2590856946
58	0.2590223791
59	0.2587799118
60	0.2585020959
61	0.2582932121
62	0.2581321378
63	0.2580476129
64	0.2579394177
65	0.2578685344
66	0.2577234422
67	0.2576484373
68	0.2575466389
69	0.2574063803
70	0.257326335
71	0.2572354356
72	0.2571966993
73	0.2571966973
74	0.2569016927
75	0.256837483
76	0.2567196549
77	0.2565570136
78	0.2564887312
79	0.2563423598
80	0.2563111385
81	0.2562701176
82	0.2561627893
83	0.2560767635
84	0.2559335079
85	0.2558645009
86	0.2558313743
87	0.2558269063
88	0.2557830239
89	0.2557796631
90	0.255708223
91	0.2556034223
92	0.2556013019
93	0.2554623578
94	0.2554062239
95	0.2553085344
96	0.2552793853
97	0.2552460447
98	0.2550439129
99	0.2550439102
100	0.2550158113
101	0.2549040384
102	0.2548261338
103	0.2548117088
104	0.254626659
105	0.2546058835
106	0.2545493426
107	0.2545263937
108	0.2544977544
109	0.2544196805
110	0.2543644451
111	0.2542813172
112	0.2541602238
113	0.2540860489
114	0.254022355
115	0.2539259581
116	0.2538539739
117	0.2538539737
118	0.2538390598
119	0.2538199375
120	0.2536036535
121	0.2535867265
122	0.2535291117
123	0.2533823815
124	0.2533773613
125	0.253305044
126	0.2532502618
127	0.2531900598
128	0.2531894363
129	0.2531617064
130	0.2531159646
131	0.2530696003
132	0.2530478036
133	0.2530176678
134	0.2529066816
135	0.252845237
136	0.2527656596
137	0.2527272697
138	0.252692942
139	0.2526565689
140	0.2526214466
141	0.2525035948
142	0.2524135276
143	0.2523824754
144	0.2522755952
145	0.2522603235
146	0.2522126243
147	0.2521751668
148	0.2520271676
149	0.2520257595
150	0.2520257594
151	0.2519306245
152	0.2518886734
153	0.2518374833
154	0.2517618024
155	0.2517300518
156	0.2516373858
157	0.2516042602
158	0.2516032987
159	0.2514651415
160	0.2513551997
161	0.2511767485
162	0.2511359012
163	0.251135901
164	0.2510702127
165	0.251030364
166	0.2510102702
167	0.2509602661
168	0.2508968189
169	0.2508568734
170	0.2508364391
171	0.2508228843
172	0.2507484093
173	0.2507164355
174	0.2506321733
175	0.2505877645
176	0.2505596138
177	0.2504691022
178	0.2504538185
179	0.2503996228
180	0.2503363513
181	0.2502979895
182	0.2502595798
183	0.2502039865
184	0.2501296866
185	0.250102906
186	0.2500121594
187	0.2499643576
188	0.2499255746
189	0.2498827178
190	0.2498002275
191	0.249774366
192	0.2496519722
193	0.249566764
194	0.2494637641
195	0.2493777962
196	0.2493632025
197	0.2492984399
198	0.2492281489
199	0.2491288392
200	0.2490587064
201	0.2490303104
202	0.2489714014
203	0.2488986867
204	0.2488490264
205	0.2488030081
206	0.2486850925
207	0.2486453696
208	0.2485751249
209	0.2485558088
210	0.2485471861
211	0.2484873486
212	0.2484552206
213	0.2484249154
214	0.2483500886
215	0.2483107878
216	0.2482648291
217	0.2481948784
218	0.2481137211
219	0.2480472175
220	0.2479653503
221	0.247919412
222	0.2478428313
223	0.2477982798
224	0.2477570217
225	0.2477085837
226	0.2476696684
227	0.2476151673
228	0.2475897503
229	0.2475354866
230	0.2475051905
231	0.2475044129
232	0.2474694467
233	0.2474362775
234	0.2473848325
235	0.247347157
236	0.2473375757
237	0.2472968419
238	0.2472641699
239	0.24718523
240	0.2471446529
241	0.2470479475
242	0.2469624457
243	0.2468972234
244	0.2468081014
245	0.2467755929
246	0.2467479429
247	0.246695417
248	0.2466653175
249	0.246626915
250	0.2465879445
251	0.2465871988
252	0.246552021
253	0.2464984872
254	0.2464168759
255	0.24633052
256	0.24623657
257	0.2461725923
258	0.2461352843
259	0.2461094612
260	0.246071322
261	0.246027114
262	0.2460041347
263	0.2459723764
264	0.2459717369
265	0.245922908
266	0.2458763008
267	0.2458393636
268	0.2457930526
269	0.2457555992
270	0.2456722115
271	0.2456603712
272	0.2455996882
273	0.2455692117
274	0.2455404813
275	0.2455210639
276	0.2454935159
277	0.2454637134
278	0.2454042366
279	0.2453543546
280	0.245304532
281	0.245234945
282	0.2451337092
283	0.2450602075
284	0.2450404926
285	0.2450146628
286	0.2449853567
287	0.2449423614
288	0.2448728066
289	0.2448419706
290	0.2448088176
291	0.2447376881
292	0.2446829934
293	0.2446446382
294	0.244625399
295	0.2445971701
296	0.2445400461
297	0.2444659551
298	0.2444491966
299	0.2443711618
300	0.2443574166
301	0.2443298342
302	0.2442838018
303	0.2442186698
304	0.2441887749
305	0.2441568384
306	0.2441240289
307	0.2441048903
308	0.2440943587
309	0.2440728841
310	0.2440306011
311	0.2439928581
312	0.2439317667
313	0.2438816363
314	0.2438661287
315	0.2437715318
316	0.2437497195
317	0.2436977891
318	0.2436772589
319	0.24365004
320	0.2436371993
321	0.2436254224
322	0.2435807724
323	0.2435598523
324	0.2434642465
325	0.243448566
326	0.2434369204
327	0.2433939697
328	0.2433166334
329	0.2433037958
330	0.2432840607
331	0.2432185825
332	0.2431796337
333	0.2431182495
334	0.2430704219
335	0.2430519803
336	0.2430227261
337	0.2429977155
338	0.2429499303
339	0.2429016724
340	0.2428449321
341	0.2427862174
342	0.2427306188
343	0.2427032424
344	0.2426734215
345	0.2426326499
346	0.2425955588
347	0.2425356619
348	0.2424817337
349	0.2424475524
350	0.2424175107
351	0.242358608
352	0.2423044517
353	0.2422901981
354	0.2421915359
355	0.2421633544
356	0.2421352386
357	0.2420594131
358	0.242028989
359	0.2420031574
360	0.2419756297
361	0.2419515277
362	0.2418376116
363	0.2417892063
364	0.2417700659
365	0.241710353
366	0.2416246765
367	0.2415965303
368	0.2415507737
369	0.241487717
370	0.2414556256
371	0.2414348608
372	0.2413877221
373	0.2412977564
374	0.2412692271
375	0.2412427548
376	0.2412207364
377	0.2411271517
378	0.2410876737
379	0.241055486
380	0.2410016318
381	0.2409839242
382	0.2409135141
383	0.2408646965
384	0.2408124923
385	0.2407863802
386	0.2407352982
387	0.240716581
388	0.2406693247
389	0.2406190849
390	0.2405685267
391	0.2405308509
392	0.2405084128
393	0.2404766714
394	0.2403768821
395	0.2403302288
396	0.2402933428
397	0.2402821421
398	0.2402512408
399	0.2402309785
400	0.2402269505
401	0.2401938218
402	0.2401499685
403	0.2401045507
404	0.2400873277
405	0.2400511995
406	0.2400121644
407	0.2399665108
408	0.2399231159
409	0.2398849918
410	0.2398541077
411	0.239824579
412	0.2397990701
413	0.2397774039
414	0.2397577359
415	0.2397488095
416	0.2396625938
417	0.2396088793
418	0.2395822463
419	0.2395418799
420	0.2394459802
