iter	Passed	Remaining
0	26	26316
1	54	27336
2	91	30392
3	113	28198
4	139	27703
5	164	27225
6	190	27049
7	217	26989
8	243	26823
9	275	27260
10	299	26883
11	328	27016
12	352	26770
13	381	26847
14	410	26943
15	435	26764
16	466	26982
17	492	26851
18	523	27050
19	548	26870
20	579	26993
21	612	27235
22	650	27648
23	684	27818
24	705	27509
25	732	27454
26	768	27711
27	798	27732
28	832	27884
29	860	27829
30	887	27737
31	913	27618
32	940	27571
33	976	27756
34	1008	27798
35	1042	27910
36	1075	27979
37	1109	28087
38	1132	27905
39	1162	27904
40	1187	27786
41	1215	27728
42	1248	27795
43	1278	27767
44	1309	27798
45	1342	27832
46	1377	27935
47	1406	27897
48	1436	27874
49	1464	27832
50	1482	27586
51	1511	27555
52	1543	27578
53	1583	27738
54	1612	27708
55	1651	27832
56	1688	27927
57	1716	27885
58	1747	27876
59	1758	27557
60	1787	27514
61	1821	27563
62	1853	27561
63	1880	27502
64	1914	27538
65	1946	27541
66	1976	27525
67	2004	27479
68	2036	27473
69	2070	27509
70	2106	27559
71	2138	27559
72	2173	27599
73	2202	27556
74	2214	27309
75	2247	27320
76	2285	27393
77	2314	27353
78	2323	27093
79	2354	27072
80	2381	27018
81	2417	27060
82	2463	27219
83	2497	27235
84	2534	27286
85	2568	27300
86	2596	27243
87	2630	27256
88	2673	27366
89	2711	27415
90	2750	27472
91	2777	27413
92	2810	27405
93	2851	27487
94	2884	27474
95	2923	27525
96	2953	27490
97	2985	27477
98	3019	27483
99	3044	27402
100	3108	27666
101	3154	27771
102	3193	27814
103	3223	27769
104	3256	27758
105	3273	27604
106	3308	27612
107	3336	27557
108	3367	27529
109	3392	27448
110	3401	27241
111	3434	27231
112	3474	27271
113	3507	27256
114	3530	27167
115	3567	27188
116	3593	27118
117	3620	27061
118	3658	27088
119	3688	27050
120	3715	26992
121	3766	27108
122	3801	27102
123	3818	26974
124	3854	26981
125	3886	26956
126	3918	26933
127	3945	26876
